method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
online,117,single-output,off,1535,90,1,1,2,3,64.58557654511553,1.0764262757519254,64.6195705996895,1.0769928433281584,1652.3808349983456,1828.7590165028,1896.327684463178,168.92166990094557,1652.3808349983456,1896.327684463178,0.0,
offline,117,single-output,off,1535,90,1,1,2,3,76.95399760171418,1.2825666266952362,76.95986301245046,1.282664383540841,3234.687927766965,3447.853947808682,3704.974454961454,642.8012678819296,3234.687927766965,3704.974454961454,0.0,
offline,117,multi-output,off,1535,90,2,2,2,4,147.3885368546532,2.45647561424422,147.39361054684815,2.4565601757808024,4028.458494188973,4110.072899351244,4436.530520000327,816.1440516227065,4028.458494188973,4436.530520000327,0.0,
offline,117,single-output,on,1535,90,1,1,2,3,189.2552399534504,3.1542539992241734,189.26559815008235,3.1544266358347057,3934.706474087636,3966.9164503488464,4095.756355393688,322.0997626121051,3934.706474087636,4095.756355393688,0.0,
offline,117,multi-output,on,1535,90,2,2,2,4,663.4937655879859,11.058229426466431,663.5014538098341,11.058357563497234,3347.0914170070782,3979.7002281731343,4490.26395968647,1276.409328783339,3347.0914170070782,4490.26395968647,0.0,
online,118,single-output,off,2278,90,1,1,3,12,222.30937721218112,3.7051562868696855,222.42638781277515,3.7071064635462525,1651.8869472589763,1927.601531296138,2127.9209449246896,500.7985340713786,1651.8869472589763,2127.9209449246896,0.0,
offline,118,single-output,off,2278,90,1,1,3,6,356.9642753432166,5.949404589053611,356.9914830537751,5.9498580508962515,3221.6583364602625,3894.536181007406,4353.945269193983,1148.5227204664427,3221.6583364602625,4353.945269193983,0.0,
offline,118,multi-output,off,2278,90,2,2,3,5,337.2934296820417,5.621557161367361,337.3050406463548,5.621750677439247,4030.04082971042,4954.271957252007,5565.933223310037,1529.153165145073,4030.04082971042,5565.933223310037,0.0,
offline,118,single-output,on,2278,90,1,1,3,6,864.9470138081793,14.415783563469656,864.9943535344,14.416572558906667,3941.017822266389,4549.175126494314,4810.565234308717,653.4752695360078,3941.017822266389,4810.565234308717,0.0,
offline,118,multi-output,on,2278,90,2,2,3,5,1220.5275026473514,20.342125044122522,1220.5495529040709,20.342492548401182,3349.0923748608307,4843.454531622934,5862.210779909055,2546.890620715304,3349.0923748608307,5862.210779909055,0.0,
online,119,single-output,off,1987,90,1,1,2,5,114.05279663027196,1.9008799438378658,114.1128273244356,1.90188045540726,1647.4150990191386,1872.6938981966653,2002.345800310184,324.12975528379604,1647.4150990191386,2002.345800310184,0.0,
offline,119,single-output,off,1987,90,1,1,2,4,230.85147420869396,3.8475245701448992,230.8690696391785,3.8478178273196417,3218.592940596388,3784.918727994744,4110.688305926171,814.4239448285668,3218.592940596388,4110.688305926171,0.0,
offline,119,multi-output,off,1987,90,2,2,2,3,154.48964829200585,2.574827471533431,154.49496643234068,2.574916107205678,4019.838519192984,4506.253335457991,4961.323737986894,1137.676006322258,4019.838519192984,4961.323737986894,0.0,
