record,method,fit_minutes,n_samples,n_true_clusters,n_pred_clusters,acc,ari,ami,nmi,homogeneity,completeness,v_measure,silhouette,dbscan_score,dbscan_eps,dbscan_min_samples,dbscan_retained_fraction,dbscan_n_clusters_no_noise,dec_k,dec_auto_k_silhouette
119,CAE+DPGMM,0.5967528621355692,1987,2,12,1.0,0.2898006709517664,0.5043124229699221,0.5056853177059679,1.0,0.338406176220964,0.5056853177059679,0.180038720369339,,,,,,,
119,CAE+DBSCAN,0.5868976950645447,1987,2,3,0.9431303472571716,0.7774055361397424,0.6884604954111849,0.6886999086088443,0.8515969545706027,0.5781155378706804,0.6886999086088443,0.4946783483028412,0.7136999368667603,0.18777462834809833,10.0,0.8862606945143432,2.0,,
119,DEC,0.9243197719256083,1987,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6864318251609802,,,,,,2,0.6860185861587524
119,HDP-GPC,nan,1987,2,3,1.0,0.9995047885221089,0.996647418534157,0.9966506866826566,0.9999999999999998,0.9933237342710295,0.9966506866826566,0.6862496733665466,,,,,,,
121,CAE+DPGMM,0.5547075351079305,1863,3,9,0.9994632313472893,0.004533928621282045,0.016249873973196088,0.01833710998422548,0.5108454453755019,0.009336117824395394,0.01833710998422548,0.24733197689056396,,,,,,,
121,CAE+DBSCAN,0.5422272443771362,1863,3,4,0.9989264626945786,0.021965944731558443,0.015938086049250642,0.017962583963556527,0.19440479230836566,0.009416315619666023,0.017962583963556523,0.36750417947769165,0.399726927280426,0.9880628243815411,3.0,0.9618894256575417,3.0,,
121,DEC,0.8448950807253519,1863,3,3,0.9989264626945786,0.0021555060844281712,0.008933308037802333,0.011035586424568727,0.4296782008096913,0.005589572759333529,0.011035586424568727,0.2500014007091522,,,,,,3,0.2716864347457886
121,HDP-GPC,nan,1863,3,4,0.9994632313472893,0.056889307768215616,0.08925911511527951,0.0910629294274072,0.5010001862275418,0.05008307096250339,0.09106292942740721,0.4437390863895416,,,,,,,
122,CAE+DPGMM,0.8040728370348613,2476,1,15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07185060530900955,,,,,,,
122,CAE+DBSCAN,0.7282461881637574,2476,1,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.13708703219890594,-0.1270720511674881,0.6327144919452203,3.0,0.9705169628432956,4.0,,
122,DEC,1.1602188229560852,2476,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35756585001945496,,,,,,2,0.3585706651210785
122,HDP-GPC,nan,2476,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,,,,,,,
123,CAE+DPGMM,0.4579978982607523,1518,2,14,1.0,0.0020628173874611116,0.014536113729138175,0.016547886994005702,1.000000000000006,0.008342972782401474,0.016547886994005705,0.05208616331219673,,,,,,,
